1	BABY	MY WORLD 2.0	JUSTIN BIEBER	
2	BAD BOY	SAHOO	BADSHAH
3	BUM BUM TAM TAM	JOGA O BUM BUM TAMTAM	MC FIOTI
4	CHAHUN MAIN YA NAA	AASHIQUI 2	ARIJIT SINGH
5	CHUNAR	ABCD2	ARIJIT SINGH
6	CHUNKY	24K MAGIC	BRUNO MARS
7	CLOSER	CLOSER	THE CHAINSMOKER
8	COUNT ON ME	DOO-WOOPS & HOOLIGANS	BRUNO MARS
9	DARD DILO KA	XPOSE	HIMESH RESHAMIYA
10	DIL HI TOH HAI	THE SKY IS PINK	ARIJIT SINGH
11	GHUNGROO	WAR	SHILPA RAO
12	GOODBYES	HOLLYWOOD'S BLEEDING	POST MALONE
13	HAPPIER	HAPPIER	BASTILLE
14	HELLO	25	ADELE
15	LOOK WHAT YOU MADE ME DO	REPUTATION	TAYLOR SWIFT
16	MIA	MIA	BAD BUNNY
17	NACHDE NE SAARE	BAAR BAAR DEKHO	JASLEEN ROYAL
18	ODHANI	MADE IN CHINA	DARSHAN RAVAL
19	OLD TOWN ROAD	7	LIL NAS X
20	READY FOR IT	REPUTATION	TAYLOR SWIFT
21	SAD FOREVER	SAD FOREVER	LAUV
22	SAKI SAKI	SATYAMEV JAYATE	TULSI KUMAR
23	SEE YOU AGAIN	FURIOUS 7	CHARLIE PUTH
24	SENORITA	DELUXE	SHAWN MENDES
25	SHAPE OF YOU	SHAPE OF YOU	ED SHEERAN
26	SYMPHONY	SYMPHONY	CLEAN BANDIT
27	TEST	TEST2	TEST3
28	THE HEART WANTS WHAT IT WANTS	FOR YOU	SELENA GOMEZ
29	TUM HI HO	AASHIQUI 2	ARIJIT SINGH
30	UPTOWN FUNK	UPTOWN SPECIAL	MARK RONSON
31	WOH DIN	CHICHHORE	TUSHAR JOSHI
32	XIYONAT	HIYONAT	UMMON GURUHI
